Type	POS	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
однако		1	2	889	1	1	32.452	809.552	1.000	1.000	80.468	0.000
в		2	1486	32878	1	1	24111.634	29939.771	1.000	1.000	73.269	0.031
по		3	219	6270	1	1	3553.464	5709.665	1.000	1.000	55.645	0.006
ее		4	26	1447	1	1	421.872	1317.685	1.000	1.000	49.221	0.001
при		5	41	1872	1	1	665.260	1704.704	1.000	1.000	48.927	0.001
лишь		6	6	723	1	1	97.355	658.387	1.000	1.000	44.644	0.000
о		7	99	3179	1	1	1606.361	2894.900	1.000	1.000	40.411	0.003
года		8	29	1393	1	1	470.550	1268.511	1.000	1.000	39.213	0.001
сша		9	3	494	1	1	48.678	449.852	1.000	1.000	34.925	0.000
экономики		10	1	386	1	1	16.226	351.504	1.000	1.000	34.116	0.000
страны		11	4	525	1	1	64.903	478.082	1.000	1.000	33.776	0.000
является		12	3	462	1	1	48.678	420.712	1.000	1.000	31.830	0.000
на		13	655	14470	1	1	10627.941	13176.850	1.000	1.000	31.325	0.017
от		14	115	3309	1	1	1865.974	3013.282	1.000	1.000	29.827	0.004
системы		15	2	393	1	1	32.452	357.879	1.000	1.000	29.531	0.000
после		16	27	1159	1	1	438.098	1055.423	1.000	1.000	27.439	0.001
также		17	13	757	1	1	210.936	689.349	1.000	1.000	27.093	0.000
власти		18	7	559	1	1	113.581	509.043	1.000	1.000	26.733	0.000
под		19	19	924	1	1	308.291	841.424	1.000	1.000	26.458	0.001
из		20	154	4065	1	1	2498.783	3701.721	1.000	1.000	26.029	0.005
развития		21	3	391	1	1	48.678	356.057	1.000	1.000	25.071	0.000
году		22	24	1032	1	1	389.421	939.773	1.000	1.000	24.500	0.001
компании		23	1	291	1	1	16.226	264.994	1.000	1.000	24.303	0.000
около		24	3	380	1	1	48.678	346.040	1.000	1.000	24.040	0.000
государства		25	2	336	1	1	32.452	305.972	1.000	1.000	23.930	0.000
словам		26	1	280	1	1	16.226	254.977	1.000	1.000	23.178	0.000
области		27	2	308	1	1	32.452	280.475	1.000	1.000	21.218	0.000
затем		28	2	300	1	1	32.452	273.190	1.000	1.000	20.449	0.000
ссср		29	2	297	1	1	32.452	270.458	1.000	1.000	20.162	0.000
без		30	20	853	1	1	324.517	776.769	1.000	1.000	19.973	0.001
среди		31	3	334	1	1	48.678	304.151	1.000	1.000	19.786	0.000
президента		32	1	243	1	1	16.226	221.284	1.000	1.000	19.419	0.000
причем		33	1	236	1	1	16.226	214.909	1.000	1.000	18.713	0.000
партии		34	1	233	1	1	16.226	212.177	1.000	1.000	18.411	0.000
его		35	121	3128	1	1	1963.330	2848.458	1.000	1.000	18.184	0.004
результате		36	3	315	1	1	48.678	286.849	1.000	1.000	18.061	0.000
